Name,Position,Species,Speed,Strength,Gumption,Finesse,Accuracy,Wow_Factor,Catchphrase,Projected_Skill,Status,Player_Team,City_Team,GPs,TPs,City_team
Amber Redtail,TE,Fox,50,50,54,34,41,12,Amber Redtail is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Emporer Waddlefoot,K,Penguin,40,85,67,18,39,71,Emporer Waddlefoot is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Abyssal of the Jungle,RB,Cat,82,33,79,26,54,100,Abyssal of the Jungle is ready to roll!,62,Benched,No Team,Berlin Walls,0,0.0,
Sleepy Monster Mauller,WR,Bear,95,71,83,85,76,18,Sleepy Monster Mauller is ready to roll!,75,Active,Demon Loons of Longview,Sydney Kangeroos,0,62.91999999999999,
Sky's Fury Hawkshade,TE,Hawk,37,96,28,29,46,42,Sky's Fury Hawkshade is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Danger The Wrecking,QB,Raccoon,18,16,24,13,98,11,Danger The Wrecking is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Fanatic Terror,QB,Monster,71,24,32,64,83,44,Fanatic Terror is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Otter King Swiftcurrent,WR,Otter,49,57,30,62,8,58,Otter King Swiftcurrent is ready to roll!,56,Active,No Team,Artic Angels,0,0.0,
Stonecrusher Scalebreaker,K,Badger,37,100,89,98,33,37,Stonecrusher Scalebreaker is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Trash Titan Shadowmask,QB,Raccoon,97,82,45,56,13,25,Trash Titan Shadowmask is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Sky Crusher Aero Blaze,WR,Hawk,61,15,97,22,20,94,Sky Crusher Aero Blaze is ready to roll!,52,Benched,No Team,Miami Palm Fronds,0,0.0,
Moon Bear,TE,Bear,74,90,32,51,99,44,Moon Bear is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Paddlebreaker Mudwhisker,RB,Otter,20,48,99,50,65,56,Paddlebreaker Mudwhisker is ready to roll!,70,Active,No Team,Miami Palm Fronds,0,1.2799999999999998,
Chilled Waddlefoot,QB,Penguin,78,95,50,3,60,29,Chilled Waddlefoot is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Danger Bandit,QB,Raccoon,23,47,66,50,39,80,Danger Bandit is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
CEO Bossman,WR,Human,48,15,48,76,20,82,CEO Bossman is ready to roll!,66,Hurt,No Team,Cape Town Heroes,0,0.8800000000000001,
Wooly Gryphon,RB,Monster,98,15,64,12,60,48,Wooly Gryphon is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
CEO Smelly,RB,Human,22,11,72,34,99,2,CEO Smelly is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Quill Gosling,WR,Goose,52,55,84,10,75,50,Quill Gosling is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Swamp Centaur,K,Monster,97,50,26,92,38,34,Swamp Centaur is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Ashley Brown,K,Human,18,12,59,69,3,13,Ashley Brown is ready to roll!,2,Healthy,No Team,No Team,0,0.0,
Abyssal Puma,QB,Cat,46,78,31,76,75,42,Abyssal Puma is ready to roll!,61,Benched,No Team,New Orleans Tubas,0,0.0,
Root Dirtpaw,RB,Badger,7,43,34,50,46,38,Root Dirtpaw is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Claw Nightroar,K,Lynx,22,51,73,41,97,41,Claw Nightroar is ready to roll!,72,Active,Forever Box,Jackson Hole Holy Jacks,0,38.0,
Dash Dandelion,RB,Rabbit,61,41,42,4,19,94,Dash Dandelion is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Alantic Meowerson,RB,Sea Creature,66,19,46,21,95,74,Alantic Meowerson is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
The Wrath Stonestride,WR,Turtle,17,39,29,9,39,56,The Wrath Stonestride is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Fury Scarredfang,TE,Fox,51,57,55,70,22,13,Fury Scarredfang is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Honk Crusher Beakman,TE,Goose,27,88,12,99,26,15,Honk Crusher Beakman is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Slyfire Emberstrike,RB,Fox,12,35,7,52,17,66,Slyfire Emberstrike is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Kodiak Trout Terror,K,Bear,13,10,31,17,33,46,Kodiak Trout Terror is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Winged Wrecker Hawkbeak,TE,Goose,46,3,75,39,76,29,Winged Wrecker Hawkbeak is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
The Wrath Deep Sea Tyrant,QB,Turtle,92,3,38,86,42,87,The Wrath Deep Sea Tyrant is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Rainbow Lake Legend,WR,Sea Creature,27,57,56,2,93,97,Rainbow Lake Legend is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Night Rook Quickpaw,RB,Raccoon,47,28,97,96,15,13,Night Rook Quickpaw is ready to roll!,79,Active,No Team,Vancouver Maples,0,13.799999999999995,
Dark of the Jungle,TE,Cat,85,93,76,25,43,96,Dark of the Jungle is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
Quickfoot Velvetdash,QB,Rabbit,19,14,98,1,35,70,Quickfoot Velvetdash is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Masked Marauder Grim Bandit,QB,Raccoon,69,31,61,43,42,82,Masked Marauder Grim Bandit is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Scamper Mudwhisker,K,Otter,25,87,39,39,87,59,Scamper Mudwhisker is ready to roll!,65,Benched,No Team,Dallas Tumbleweeds,0,0.0,
Otter King Splash Knight,K,Otter,63,51,55,35,98,41,Otter King Splash Knight is ready to roll!,73,Active,Armored Ducks,Mexico City Ballers,0,21.0,
Dead Cthulhu,K,Horror,5,47,25,3,15,7,Dead Cthulhu is ready to roll!,11,Healthy,No Team,No Team,0,0.0,
Red Vixen Quicktail,QB,Fox,66,56,68,98,66,30,Red Vixen Quicktail is ready to roll!,70,Active,Pengwins,Moscow Mules,0,57.94,
Dark Quill,K,Cat,72,74,71,49,10,14,Dark Quill is ready to roll!,7,Healthy,No Team,No Team,0,0.0,
Winged Wrecker Quill,RB,Goose,98,46,63,12,15,62,Winged Wrecker Quill is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Marsh Oceansong,TE,Otter,71,10,19,65,37,3,Marsh Oceansong is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Gustav Beakman,RB,Goose,96,90,75,54,11,34,Gustav Beakman is ready to roll!,58,Benched,No Team,Cape Town Heroes,0,0.0,
Creature of Claw Sun Seeker,K,Bear,83,34,56,69,80,36,Creature of Claw Sun Seeker is ready to roll!,60,Benched,No Team,Tokyo Robots,0,0.0,
Colonial Queen of Hearts,QB,Human,23,80,3,10,56,83,Colonial Queen of Hearts is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Sea Serpant Shellshock,RB,Turtle,93,75,7,61,54,45,Sea Serpant Shellshock is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Ravager Warren Fury,TE,Rabbit,47,98,33,12,18,84,Ravager Warren Fury is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Winged Terror,WR,Horror,86,4,40,36,77,94,Winged Terror is ready to roll!,67,Active,No Team,Cleveland Devils,0,0.8,
Night Rook Shadowmask,QB,Raccoon,23,50,41,94,67,90,Night Rook Shadowmask is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Diggs Doomclaw,TE,Badger,69,93,11,58,84,8,Diggs Doomclaw is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Dead Terror,K,Horror,98,38,55,46,36,69,Dead Terror is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Velvet Warren Fury,WR,Rabbit,74,94,94,57,7,29,Velvet Warren Fury is ready to roll!,58,Benched,No Team,Chernobyl Radiation,0,0.0,
Maisha Quickfoot,K,Cat,49,3,96,19,23,79,Maisha Quickfoot is ready to roll!,17,Healthy,No Team,No Team,0,0.0,
4-Eyed Terror,TE,Monster,38,30,12,37,34,55,4-Eyed Terror is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Aero Windtalon,K,Hawk,32,21,13,38,30,9,Aero Windtalon is ready to roll!,22,Healthy,No Team,No Team,0,0.0,
Happy Feet,WR,Penguin,94,93,90,56,31,29,Happy Feet is ready to roll!,65,Active,No Team,Moscow Mules,0,2.0,
Unleashed Ironclaw,K,Wolf,82,65,1,25,38,14,Unleashed Ironclaw is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Octo Skipper,TE,Sea Creature,56,79,34,20,37,2,Octo Skipper is ready to roll!,22,Healthy,No Team,No Team,0,0.0,
Honk Beakman,WR,Goose,56,97,35,100,31,17,Honk Beakman is ready to roll!,65,Active,No Team,Madrid Mothers,0,2.4,
Titan of the Deep Deep Sea Tyrant,QB,Turtle,47,96,49,5,17,65,Titan of the Deep Deep Sea Tyrant is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Flame Fairy,RB,Monster,52,36,64,65,28,93,Flame Fairy is ready to roll!,70,Active,Armored Ducks,Dallas Tumbleweeds,0,0.0,
Shelly Slowstream,TE,Turtle,85,77,78,69,47,19,Shelly Slowstream is ready to roll!,62,Benched,No Team,Berlin Walls,0,0.0,
Eldritch Karen,QB,Horror,67,48,77,85,31,23,Eldritch Karen is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Brindle Icefang,TE,Lynx,8,37,27,78,98,4,Brindle Icefang is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Iron Fang Bloodmoon Howler,RB,Wolf,43,38,92,18,89,52,Iron Fang Bloodmoon Howler is ready to roll!,54,Benched,No Team,Tokyo Robots,0,0.0,
Lil' Smith,RB,Human,28,86,27,62,81,16,Lil' Smith is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Skyler Waves,WR,Sea Creature,64,95,96,25,22,40,Skyler Waves is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Southern Witch Queen of Hearts,WR,Human,72,56,44,44,64,43,Southern Witch Queen of Hearts is ready to roll!,55,Benched,No Team,Dublin Alchoholics,0,0.0,
Local Skinny,RB,Human,70,35,43,63,19,80,Local Skinny is ready to roll!,58,Active,No Team,Jakarta Divers,0,0.36,
Flapstorm Darkwing,QB,Goose,65,71,67,5,60,74,Flapstorm Darkwing is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Fanatic Gryphon,QB,Monster,98,3,47,88,1,12,Fanatic Gryphon is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Nibbles Meowerson,WR,Cat,25,72,89,18,27,42,Nibbles Meowerson is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Moss Stoneback,QB,Turtle,62,92,43,52,45,42,Moss Stoneback is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Clumsey Lady of the Lake,QB,Human,56,23,21,33,92,74,Clumsey Lady of the Lake is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Juan Johnson,QB,Human,37,32,69,77,44,74,Juan Johnson is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Tidal Bottom Dewler,QB,Sea Creature,23,76,41,22,40,88,Tidal Bottom Dewler is ready to roll!,40,Healthy,No Team,No Team,0,0.0,
Clover Quickfoot,K,Rabbit,93,1,75,91,56,92,Clover Quickfoot is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Thumper 'The Crusher' Shadowthump,RB,Rabbit,69,73,13,79,58,39,Thumper 'The Crusher' Shadowthump is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Forsaken Friend of the Forest,K,Human,5,96,20,31,30,42,Forsaken Friend of the Forest is ready to roll!,22,Healthy,No Team,No Team,0,0.0,
Prowler Cinderstrike,RB,Lynx,53,54,21,76,84,15,Prowler Cinderstrike is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Diggs Scalebreaker,QB,Badger,84,86,37,52,66,31,Diggs Scalebreaker is ready to roll!,62,Benched,No Team,Mexico City Ballers,0,0.0,
Clumsey Snowfur,TE,Penguin,5,91,39,81,75,96,Clumsey Snowfur is ready to roll!,67,Benched,No Team,Djibouti Warriors,0,0.0,
Wild Fireswift,QB,Fox,69,64,57,65,55,93,Wild Fireswift is ready to roll!,60,Benched,No Team,New York Sewers,0,0.0,
Root Strongback,RB,Badger,83,73,14,80,64,5,Root Strongback is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Dash Sharpclaw,QB,Fox,53,98,3,22,6,89,Dash Sharpclaw is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Tank Reefwalker,WR,Turtle,41,21,86,12,23,39,Tank Reefwalker is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Ricky Brown,QB,Human,12,47,96,24,39,39,Ricky Brown is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Masked Marauder Stealthy,K,Raccoon,62,49,44,7,66,37,Masked Marauder Stealthy is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Otter King Corrupt Otter,RB,Otter,19,58,96,9,48,50,Otter King Corrupt Otter is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Tidal Coralbreaker,K,Turtle,2,72,51,19,62,56,Tidal Coralbreaker is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Scraps Maskwell,RB,Raccoon,97,52,56,42,27,54,Scraps Maskwell is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Hawkstorm Viperwing,WR,Hawk,11,76,61,78,96,63,Hawkstorm Viperwing is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Titan of the Deep Stonestride,K,Turtle,74,58,93,57,38,57,Titan of the Deep Stonestride is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Fury Fang Valorhowl,TE,Wolf,38,7,97,66,1,82,Fury Fang Valorhowl is ready to roll!,81,Active,Gnome Punters,Chicago Snowstorm,0,13.039999999999994,
Fanatic Sea Serpant,QB,Monster,11,89,40,85,64,43,Fanatic Sea Serpant is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Polar Brook,WR,Bear,57,3,31,91,26,87,Polar Brook is ready to roll!,76,Active,Charmander These Nuts,Djibouti Warriors,0,19.52,
River Destroyer Stormtide,QB,Otter,28,15,23,70,6,80,River Destroyer Stormtide is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Fang Blackfang,QB,Wolf,50,40,85,33,29,71,Fang Blackfang is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Silent Strike BlizzeRidge,QB,Lynx,52,76,64,17,92,98,Silent Strike BlizzeRidge is ready to roll!,65,Benched,No Team,Chernobyl Radiation,0,0.0,
The Wrath Braveshell,RB,Turtle,42,10,62,14,66,88,The Wrath Braveshell is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Ashley From Way Back,TE,Human,40,65,10,76,22,62,Ashley From Way Back is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Velvet Hopper,RB,Rabbit,51,24,26,59,4,70,Velvet Hopper is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Winged Sea Serpant,WR,Monster,84,61,64,25,19,79,Winged Sea Serpant is ready to roll!,59,Benched,No Team,Cape Town Heroes,0,0.0,
Flying Beast Darkstorm,TE,Hawk,54,79,10,9,16,95,Flying Beast Darkstorm is ready to roll!,26,Healthy,No Team,No Team,0,0.0,
Brindle Nightroar,QB,Lynx,94,10,40,47,50,99,Brindle Nightroar is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Waddles Pondstrider,WR,Goose,68,82,79,31,77,2,Waddles Pondstrider is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Sea Serpant Dragon,RB,Monster,40,46,98,57,9,34,Sea Serpant Dragon is ready to roll!,68,Hurt,No Team,Philly Flowers,0,7.84,
Wild Otter Brave Paddler,RB,Otter,26,47,37,32,68,13,Wild Otter Brave Paddler is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Night Rook Darkmask Sly,TE,Raccoon,79,62,30,10,11,66,Night Rook Darkmask Sly is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Lynx King Icewhisper,RB,Lynx,36,37,76,91,34,90,Lynx King Icewhisper is ready to roll!,84,Dead,No Team,Jakarta Divers,0,7.720000000000001,
The Silent Lil Guy,RB,Human,7,23,98,39,86,5,The Silent Lil Guy is ready to roll!,55,Benched,No Team,Chicago Snowstorm,0,0.0,
Sky Crusher Thunderbeak,TE,Hawk,54,99,34,28,59,4,Sky Crusher Thunderbeak is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Moon Honey,K,Bear,7,34,87,26,81,64,Moon Honey is ready to roll!,60,Benched,No Team,Lima Llamas,0,0.0,
April Williams,K,Human,52,69,34,40,56,45,April Williams is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Dead Fallen Angel,RB,Horror,50,44,28,34,66,2,Dead Fallen Angel is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Lynx King Snowhunter,K,Lynx,71,92,35,28,69,28,Lynx King Snowhunter is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Tidal Venomspike,QB,Turtle,87,46,60,89,90,92,Tidal Venomspike is ready to roll!,75,Active,Mecha-Shoebills,Tokyo Robots,0,92.57999999999996,
Tidal of the Deep,K,Sea Creature,81,44,93,23,38,95,Tidal of the Deep is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Honk Crusher Honkerson,WR,Goose,25,10,62,59,20,82,Honk Crusher Honkerson is ready to roll!,50,Benched,No Team,Auckland Spiders,0,0.0,
Bandit Quickpaws,RB,Raccoon,100,1,38,94,25,16,Bandit Quickpaws is ready to roll!,56,Benched,No Team,Madrid Mothers,0,0.0,
Clown Eel,WR,Sea Creature,67,38,91,60,93,43,Clown Eel is ready to roll!,59,Benched,No Team,Moscow Mules,0,0.0,
Angler Kraken,K,Sea Creature,7,16,44,82,57,73,Angler Kraken is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Brother Eclipse,K,Bear,65,1,62,57,22,8,Brother Eclipse is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
Drift Stoneback,TE,Turtle,76,36,12,57,42,16,Drift Stoneback is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Clumsey King of Man,RB,Human,39,58,69,70,9,17,Clumsey King of Man is ready to roll!,59,Benched,No Team,Denver Boulders,0,0.0,
Sky Crusher Vengeful Talon,WR,Hawk,29,58,92,25,67,47,Sky Crusher Vengeful Talon is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Blizzard Feet,RB,Penguin,25,31,72,10,92,26,Blizzard Feet is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
River Mudwhisker,WR,Otter,16,59,9,21,61,7,River Mudwhisker is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
Macaroni Waddlefoot,WR,Penguin,44,90,22,60,70,42,Macaroni Waddlefoot is ready to roll!,50,Benched,No Team,New Orleans Tubas,0,0.0,
Zorro Quickpaws,WR,Raccoon,41,6,33,10,63,39,Zorro Quickpaws is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
4-Eyed Necromancer,TE,Monster,66,93,65,60,92,64,4-Eyed Necromancer is ready to roll!,62,Benched,No Team,Dublin Alchoholics,0,0.0,
Scottish Major,QB,Bear,76,80,6,24,61,42,Scottish Major is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Howling Storm Shadow,WR,Wolf,46,13,75,35,62,92,Howling Storm Shadow is ready to roll!,50,Benched,No Team,LA Sunkillers,0,0.0,
Danger King Trashpaw,QB,Raccoon,24,78,72,45,63,18,Danger King Trashpaw is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
Quickfoot Fleetfoot,QB,Rabbit,29,44,68,1,12,2,Quickfoot Fleetfoot is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Stonecrusher Gravelstone,WR,Badger,66,39,24,81,71,73,Stonecrusher Gravelstone is ready to roll!,73,Active,anxious ponchos,Miami Palm Fronds,0,11.08,
Sliding Feet,QB,Penguin,69,76,60,35,20,79,Sliding Feet is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Clawmaster BlizzeRidge,RB,Lynx,49,63,76,95,66,5,Clawmaster BlizzeRidge is ready to roll!,69,Hurt,No Team,Artic Angels,0,13.98,
Sky Crusher Falconeye,WR,Hawk,97,7,87,61,98,17,Sky Crusher Falconeye is ready to roll!,66,Active,No Team,Jakarta Divers,0,2.88,
Lynx King Coldshadow,TE,Lynx,75,8,42,95,12,71,Lynx King Coldshadow is ready to roll!,69,Active,No Team,Berlin Walls,0,17.879999999999995,
Clumsey Skinny,RB,Human,15,26,57,97,70,83,Clumsey Skinny is ready to roll!,78,Active,Gnome Punters,Chernobyl Radiation,0,8.200000000000001,
River Destroyer Brave Paddler,RB,Otter,67,58,68,84,22,54,River Destroyer Brave Paddler is ready to roll!,71,Active,Mind Goblins,Chicago Snowstorm,0,21.79999999999999,
Rampager Ironclaw,RB,Badger,91,72,87,59,32,91,Rampager Ironclaw is ready to roll!,76,Active,Forever Box,Auckland Spiders,0,20.0,
Ashley of Rhodes,TE,Human,88,4,16,87,59,76,Ashley of Rhodes is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Bubbles Oceansong,QB,Otter,62,65,10,15,75,85,Bubbles Oceansong is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Ravager Scarletfang,K,Rabbit,54,91,74,30,35,58,Ravager Scarletfang is ready to roll!,26,Healthy,No Team,No Team,0,0.0,
Night Rook Scraps,QB,Raccoon,92,77,72,95,27,29,Night Rook Scraps is ready to roll!,65,Active,No Team,Auckland Spiders,0,29.18,
Yogi Cub,RB,Bear,94,50,86,93,5,24,Yogi Cub is ready to roll!,76,Active,Mochlings,Lima Llamas,0,16.73999999999999,
Aero Cloudpiercer,TE,Hawk,58,59,20,20,85,64,Aero Cloudpiercer is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Panda Bear Major,RB,Bear,10,53,64,13,20,83,Panda Bear Major is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Octo Light Keeper,TE,Sea Creature,74,95,61,38,43,70,Octo Light Keeper is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Alfonso Tentacles,RB,Sea Creature,65,2,34,12,41,27,Alfonso Tentacles is ready to roll!,23,Healthy,No Team,No Team,0,0.0,
Unleashed Silverfang,QB,Wolf,43,34,6,72,78,66,Unleashed Silverfang is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Shelly Lagoon,TE,Turtle,75,81,94,73,3,6,Shelly Lagoon is ready to roll!,67,Benched,No Team,Cape Town Heroes,0,0.0,
Frostfang Fury Cinderstrike,TE,Lynx,14,42,24,10,17,83,Frostfang Fury Cinderstrike is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Yogi Honey,QB,Bear,76,69,91,53,48,14,Yogi Honey is ready to roll!,66,Benched,No Team,Sydney Kangeroos,0,0.0,
Silent Strike Icewhisper,WR,Lynx,82,53,24,100,60,56,Silent Strike Icewhisper is ready to roll!,83,Active,Armored Ducks,Jackson Hole Holy Jacks,0,42.32,
Scrap King The Wrecking,RB,Raccoon,97,60,52,83,59,83,Scrap King The Wrecking is ready to roll!,70,Active,Mecha-Shoebills,Mexico City Ballers,0,25.74,
Tidal Wave Stormtide,WR,Otter,85,58,22,77,84,51,Tidal Wave Stormtide is ready to roll!,74,Active,Mochlings,Cape Town Heroes,0,24.000000000000004,
Blizzard Waddlefoot,QB,Penguin,33,16,17,93,10,90,Blizzard Waddlefoot is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Shellstorm Stonestride,WR,Turtle,88,55,48,24,9,68,Shellstorm Stonestride is ready to roll!,58,Benched,No Team,Madrid Mothers,0,0.0,
Winged Nightmare,QB,Horror,85,93,20,41,90,45,Winged Nightmare is ready to roll!,65,Benched,No Team,Chicago Snowstorm,0,0.0,
Clown Light Keeper,K,Sea Creature,93,20,57,26,58,37,Clown Light Keeper is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Grizzle Dirtpaw,RB,Badger,25,38,15,65,58,99,Grizzle Dirtpaw is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Swole From Way Back,K,Human,2,25,94,14,14,73,Swole From Way Back is ready to roll!,10,Healthy,No Team,No Team,0,0.0,
Emporer Torpedo,WR,Penguin,32,48,89,83,63,93,Emporer Torpedo is ready to roll!,64,Hurt,No Team,Chernobyl Radiation,0,1.64,
Fury Fang Rogue Nightstalker,TE,Wolf,7,13,63,85,60,14,Fury Fang Rogue Nightstalker is ready to roll!,62,Benched,No Team,Jackson Hole Holy Jacks,0,0.0,
Soul Collector Fallen Angel,WR,Horror,7,82,30,63,14,85,Soul Collector Fallen Angel is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Rage Terror,K,Monster,63,46,87,95,36,77,Rage Terror is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Hops of Fury Thumper,TE,Rabbit,66,18,18,5,49,28,Hops of Fury Thumper is ready to roll!,14,Healthy,No Team,No Team,0,0.0,
Draconic Druid,WR,Monster,51,94,89,8,66,82,Draconic Druid is ready to roll!,40,Healthy,No Team,No Team,0,0.0,
Floofy Mousey,K,Cat,84,64,30,95,57,50,Floofy Mousey is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Floofy Quill,K,Cat,80,20,91,69,29,1,Floofy Quill is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Drunk Smelly,K,Human,79,16,49,9,17,1,Drunk Smelly is ready to roll!,12,Healthy,No Team,No Team,0,0.0,
Clumsey Flippers,RB,Penguin,35,96,62,48,30,77,Clumsey Flippers is ready to roll!,59,Benched,No Team,Djibouti Warriors,0,0.0,
Ravager Nibbles of Doom,K,Rabbit,81,63,64,3,47,40,Ravager Nibbles of Doom is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Clover Warren,QB,Rabbit,6,3,95,19,91,50,Clover Warren is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Cyclops Devil,QB,Horror,55,84,73,52,45,8,Cyclops Devil is ready to roll!,60,Benched,No Team,Auckland Spiders,0,0.0,
Alantic ReefStalker,TE,Sea Creature,22,90,13,56,28,84,Alantic ReefStalker is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Slyfire Nightfire,K,Fox,67,74,69,31,12,41,Slyfire Nightfire is ready to roll!,9,Healthy,No Team,No Team,0,0.0,
Skyler Meowerson,QB,Sea Creature,25,29,70,100,29,75,Skyler Meowerson is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Quick Claws Quill,TE,Cat,25,27,26,18,97,47,Quick Claws Quill is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Tinker Nightwhisker,TE,Raccoon,99,62,62,57,47,16,Tinker Nightwhisker is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Maisha Clawson,QB,Cat,34,38,96,32,50,42,Maisha Clawson is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Howling Storm Darkstrike,K,Wolf,9,94,43,12,48,33,Howling Storm Darkstrike is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Sky Featherstrike,TE,Hawk,30,58,8,83,60,35,Sky Featherstrike is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Silent Whisperpaw,K,Lynx,53,17,24,45,93,60,Silent Whisperpaw is ready to roll!,69,Active,No Team,Auckland Spiders,0,38.0,
Fang Stormpaw,K,Wolf,24,9,38,26,39,12,Fang Stormpaw is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
